Model,WER=0%,WER=10%,WER=20%,WER=30%,WER=40%,WER=50%,Δ (0→50%)
TF-IDF + SVM,0.826,0.7342,0.7359,0.7132,0.6767,0.6399,0.1861
TF-IDF + LR,0.8305,0.7377,0.7377,0.7152,0.6861,0.6478,0.1827
BERT-base,0.8805,0.75,0.7376,0.7011,0.6482,0.5885,0.292
Qwen2.5-3B QLoRA,0.8804,0.8545,0.8531,0.8377,0.8077,0.7785,0.1019
